date;opening;closing;lowest;highest;volume;quantity;amount;avg_price
2021-04-25;284499.89365;293998.52829;267150.0;297099.99999;40478795.21930407;144.14519913;14620;280819.58652537
2021-04-26;293998.52765;296992.90999999;292000.00001;309000.0;67681425.93696208;226.2284659;20725;299172.89881141
2021-04-27;296992.90955;305499.97002;295000.0;309143.78989;34164462.07083729;113.04289942;15751;302225.63510072
2021-04-28;305833.86199;294399.98982;292098.81537;305899.99;27741346.88840915;92.80183794;13691;298931.00723226
2021-04-29;294399.98823999;288809.90999;282360.0;294399.9932;25997525.76458249;90.0415184;15194;288728.20257307
2021-04-30;288809.90999;318501.00101;288100.15;321099.99999;51537456.41619353;167.40904376;23992;307853.47827491
2021-05-01;318501.00128;314550.0041;312999.99;319198.95953;20937661.17746181;66.39000578;11217;315373.69113724
2021-05-02;315076.94974;316941.01;308049.39006;318996.0;17315596.61610407;55.45695372;8938;312234.90391358
2021-05-03;316941.01;306999.91989;302959.00001;323768.27;45879832.14124274;145.53042592;20095;315259.38202409
2021-05-04;306999.91885;303899.99998;293700.0;312578.69;42291688.27908738;140.21215029;19254;301626.41534001
2021-05-05;303899.99991;306000.0;298010.30991;313185.46;34660675.01887306;112.82604615;13832;307204.55250902
2021-05-06;306000.0;299680.19769;296000.0;311998.86;26150171.55200374;86.28688444;14302;303060.79216694
2021-05-07;299680.10699;307787.82423;298000.0;308000.0;19269576.69464964;63.42832444;9697;303800.81556273
2021-05-08;307999.98991;310200.08;305600.0;315000.0;22824621.88347844;73.44619467;11029;310766.56845234
2021-05-09;310983.78837;310455.40002;300010.00001999;311971.46993;15039676.8987874;49.07139383;8202;306485.62685808
2021-05-10;310799.98982999;294500.00993;289000.0;312999.98;50448015.54432525;167.46398968;22327;301246.94652697
2021-05-11;294500.00992;300000.00001;292158.98314;301740.98998;30407600.98699731;102.36437761;13148;297052.56552086
2021-05-12;300459.98908;270597.97982;250000.0;303000.0;97707268.09335805;350.7178093;36083;278592.2627892
2021-05-13;270597.97973;264507.11001;250000.0;272200.0;78051460.55719697;297.40747734;31164;262439.46942856
2021-05-14;264999.98358;267429.47514;259822.39231;274439.29169;38081868.65186017;142.21955832;15815;267768.15440654
2021-05-15;266524.83156999;255000.02003;249001.01;266524.83156999;26731349.35382682;104.45588194;13968;255910.42703733
2021-05-16;255329.98997;236699.90894;232000.0;262981.97943;43185967.01543389;175.91917703;16140;245487.54572714
2021-05-17;236699.89394;241150.98999;218431.98918;242999.96999;75154418.28803852;324.56318735;25923;231555.58368051
2021-05-18;241150.0;218000.04947;218000.0;249010.0;59167385.55080443;253.45808235;22773;233440.51608936
2021-05-19;218000.0;209000.0;154000.01001;224889.99999;157049949.9174168;786.75323814;51236;199617.79920818
2021-05-20;209000.0;222007.04061;205100.0;234525.77474;74230475.83097626;333.68035923;24370;222459.82952082
